SCHOOL NAME,COUNTY,ENROLLED,IMMUNE_MMR
CHEYENNE ELEMENTARY SCHOOL - PEORIA,MARICOPA,50,0.9
CHEYENNE TRADITIONAL ELEMENTARY SCHOOL - SCOTTSDALE,MARICOPA,103,0.951
CHINLE ELEMENTARY SCHOOL,APACHE,63,0.984
CHOLLA ELEMENTARY SCHOOL,PINAL,68,0.971
CHRIST LUTHERAN SCHOOL,MARICOPA,62,0.839
CHRIST THE KING CATHOLIC SCHOOL,MARICOPA,25,0.88
CHRIST'S GREENFIELD LUTHERAN SCHOOL,MARICOPA,53,0.717
CIRCLE CROSS K-8 STEM ACADEMY,PINAL,50,0.64
CLAWSON SCHOOL,COCHISE,56,0.982
CLOVES C CAMPBELL SR ELEMENTARY SCHOOL,MARICOPA,32,0.938
COCHISE ELEMENTARY SCHOOL - SCOTTSDALE,MARICOPA,93,0.903
COLLIER ELEMENTARY SCHOOL - AVONDALE,MARICOPA,70,0.986
COLONEL JOHNSTON ELEMENTARY SCHOOL,COCHISE,78,0.962
COMBS TRADITIONAL SCHOOL,PINAL,25,0.92
CONSTITUTION ELEMENTARY SCHOOL,MARICOPA,74,0.959
CONTINENTAL ELEMENTARY SCHOOL,PIMA,47,1.0
COPPER BASIN K-8,PINAL,42,0.976
COPPER CANYON ELEMENTARY SCHOOL,MARICOPA,67,0.91
COPPER CREEK ELEMENTARY,MARICOPA,62,0.968
COPPER CREEK ELEMENTARY SCHOOL,PIMA,35,0.971
COPPER KING ELEMENTARY,MARICOPA,66,0.924
COPPER RIDGE ELEMENTARY SCHOOL - 85641,PIMA,53,0.943
COPPER RIDGE SCHOOL - 85255,MARICOPA,41,0.78
COPPER RIM ELEMENTARY SCHOOL,GILA,91,0.923
COPPER TRAILS ELEMENTARY,MARICOPA,91,0.945
COPPER VIEW ELEMENTARY SCHOOL,PIMA,67,0.955
COPPERWOOD SCHOOL,MARICOPA,64,0.969
CORDOVA ELEMENTARY SCHOOL,MARICOPA,68,1.0
CORONADO ELEMENTARY SCHOOL - APACHE,APACHE,59,0.339
CORONADO ELEMENTARY SCHOOL - COCHISE,COCHISE,38,0.842
CORONADO ELEMENTARY SCHOOL - GILBERT,MARICOPA,68,0.868
CORONADO K-8 SCHOOL,PIMA,37,0.919
CORTE SIERRA ELEMENTARY SCHOOL,MARICOPA,75,0.813
CORTINA ELEMENTARY,MARICOPA,53,0.849
COTTON BOLL SCHOOL,MARICOPA,56,0.911
COTTONWOOD COMMUNITY SCHOOL,YAVAPAI,41,0.829
COTTONWOOD ELEMENTARY - 86021,MOHAVE,39,0.077
COTTONWOOD ELEMENTARY SCHOOL - 85222,PINAL,93,0.882
COTTONWOOD ELEMENTARY SCHOOL - 85641,PIMA,112,0.911
COUNTRY GARDENS CHARTER SCHOOL,MARICOPA,20,0.9
COUNTRY MEADOWS ELEMENTARY SCHOOL,MARICOPA,82,0.78
COUNTRY PLACE ELEMENTARY,MARICOPA,79,0.886
COUNTRYSIDE ELEMENTARY,MARICOPA,90,0.911
COYOTE HILLS ELEMENTARY SCHOOL,MARICOPA,58,0.897
COYOTE SPRINGS ELEMENTARY SCHOOL,YAVAPAI,54,0.796
COYOTE TRAIL ELEMENTARY SCHOOL,PIMA,66,0.939
CRADLEBOARD SCHOOL,NAVAJO,42,0.929
CRAGIN ELEMENTARY SCHOOL,PIMA,31,0.903
CRAYCROFT ELEMENTARY SCHOOL,PIMA,82,1.0
CREATIVE CASTLE PRESCHOOL & PLAYTIME,MARICOPA,34,0.647
CREO SCHOOL,MARICOPA,31,0.613
CRISMON ELEMENTARY SCHOOL,MARICOPA,59,0.966
CROWN CHARTER SCHOOL,MARICOPA,87,0.966
CURIEL SCHOOL,PINAL,77,0.935
CURRY ELEMENTARY SCHOOL,MARICOPA,51,0.941
DAVID CROCKETT SCHOOL,MARICOPA,62,0.887
DAVIDSON ELEMENTARY SCHOOL,PIMA,35,0.943
DAVIS BILINGUAL MAGNET SCHOOL,PIMA,44,0.886
DAYSPRING PRESCHOOL,MARICOPA,21,0.905
DEGRAZIA ELEMENTARY SCHOOL,PIMA,49,0.755
DENNEHOTSO BOARDING SCHOOL,APACHE,20,1.0
DESERT CANYON ELEMENTARY,MARICOPA,80,0.862
DESERT CHRISTIAN K-8 SCHOOL - E WRIGHTSTOWN RD,PIMA,23,0.696
DESERT COVE ELEMENTARY SCHOOL,MARICOPA,55,0.927
DESERT HARBOR ELEMENTARY SCHOOL,MARICOPA,72,0.889
DESERT HEIGHTS ELEMENTARY CHARTER SCHOOL,MARICOPA,53,0.792
DESERT HORIZON ELEMENTARY SCHOOL,MARICOPA,61,0.918
DESERT MARIGOLD SCHOOL,MARICOPA,36,0.472
DESERT MEADOWS ELEMENTARY SCHOOL,MARICOPA,99,0.899
DESERT MESA ELEMENTARY SCHOOL,YUMA,112,0.946
DESERT MIRAGE ELEMENTARY SCHOOL,MARICOPA,62,0.919
DESERT MOUNTAIN ELEMENTARY - 85142,MARICOPA,87,0.839
DESERT MOUNTAIN SCHOOL - 85086,MARICOPA,36,0.944
DESERT OASIS ELEMENTARY SCHOOL-85037,MARICOPA,89,0.876
DESERT OASIS ELEMENTARY SCHOOL-85387,MARICOPA,97,0.897
DESERT PALMS ELEMENTARY SCHOOL,MARICOPA,32,0.906
DESERT SAGE ELEMENTARY SCHOOL,MARICOPA,67,0.881
DESERT SHADOWS ELEMENTARY SCHOOL,MARICOPA,66,0.894
DESERT SONORA ELEMENTARY SCHOOL,YUMA,50,0.98
DESERT STAR ACADEMY,MOHAVE,69,0.667
DESERT STAR SCHOOL,MARICOPA,68,0.912
DESERT SUN CHILD DEVELOPMENT CENTER,MARICOPA,21,0.429
DESERT SUN ELEMENTARY SCHOOL,MARICOPA,20,0.75
DESERT SUNSET ELEMENTARY SCHOOL,MARICOPA,97,0.928
DESERT THUNDER SCHOOL,MARICOPA,88,0.886
DESERT TRAILS ELEMENTARY SCHOOL,MARICOPA,60,0.883
DESERT VALLEY ELEMENTARY - 86442,MOHAVE,96,0.948
DESERT VALLEY ELEMENTARY SCHOOL - 85304,MARICOPA,44,0.909
DESERT VIEW ACADEMY,YUMA,139,0.95
DESERT VIEW ELEMENTARY - SAN LUIS,YUMA,89,1.0
DESERT VIEW ELEMENTARY SCHOOL - PHOENIX,MARICOPA,39,0.949
DESERT VISTA ELEMENTARY SCHOOL,PINAL,48,0.958
DESERT WILLOW ELEMENTARY SCHOOL - CASA GRANDE,PINAL,79,0.937
DESERT WILLOW ELEMENTARY SCHOOL - CAVE CREEK,MARICOPA,36,0.722
DESERT WILLOW ELEMENTARY SCHOOL - KINGMAN,MOHAVE,60,0.817
DESERT WILLOW ELEMENTARY SCHOOL - TUCSON,PIMA,126,0.865
DESTINY SCHOOL,GILA,50,0.94
DIAMOND CANYON ELEMENTARY,MARICOPA,43,0.907
DIAMONDBACK ELEMENTARY SCHOOL,MOHAVE,50,0.8
DIETZ K-8 SCHOOL,PIMA,43,0.884
DILWORTH BRINTON ELEMENTARY,MARICOPA,48,0.896
DISCOVERY PLUS ACADEMY,GRAHAM,20,0.7
DOBSON ACADEMY A-BALL CHARTER SCHOOL,MARICOPA,37,0.73
DON MENSENDICK SCHOOL,MARICOPA,56,0.893
DOROTHY HALL ELEMENTARY,YUMA,88,0.807
DOROTHY STINSON SCHOOL,GRAHAM,66,0.848
DOS RIOS ELEMENTARY,MARICOPA,55,0.945
DOVE MOUNTAIN K-8,PIMA,91,0.967
DR DANIEL BRIGHT ELEMENTARY SCHOOL,YAVAPAI,50,0.78
DR HOWARD K CONLEY ELEMENTARY SCHOOL,MARICOPA,93,0.892
DR. CHARLES A. BEJARANO ELEMENTARY SCHOOL,GILA,59,0.712
DR. GARY AND ANNETTE AUXIER ELEMENTARY SCHOOL,MARICOPA,45,0.822
DRACHMAN PRIMARY MAGNET SCHOOL,PIMA,39,0.974
DREAM CITY CHRISTIAN SCHOOLS,MARICOPA,59,0.695
DREAMING SUMMIT ELEMENTARY,MARICOPA,94,0.872
DREXEL ELEMENTARY SCHOOL,PIMA,52,0.942
DUNCAN ELEMENTARY SCHOOL,GREENLEE,26,0.808
DUNHAM ELEMENTARY SCHOOL,PIMA,28,0.964
DWIGHT PATTERSON ELEMENTARY,MARICOPA,87,0.897
E C NASH SCHOOL,PIMA,42,0.976
EAGLE COLLEGE PREP - MARYVALE,MARICOPA,24,1.0
EAGLE COLLEGE PREP - MESA,MARICOPA,20,1.0
EAGLE COLLEGE PREP - S MOUNTAIN,MARICOPA,36,0.889
EAGLE RIDGE ELEMENTARY SCHOOL - PHONEIX,MARICOPA,59,0.881
EAGLERIDGE ENRICHMENT PROGRAM - MESA,MARICOPA,43,0.488
ECHO CANYON K-8 - SCOTTSDALE,MARICOPA,25,0.76
ECHO MOUNTAIN PRIMARY SCHOOL,MARICOPA,103,0.883
ED & VERMA PASTOR ELEMENTARY SCHOOL,MARICOPA,47,0.979
ED PASTOR ELEMENTARY 4,YUMA,82,1.0
EDISON ELEMENTARY SCHOOL,MARICOPA,70,0.986
EDISON SCHOOL OF INNOVATION,MARICOPA,37,0.865
EDUPRIZE SCHOOL - GILBERT,MARICOPA,103,0.738
EDUPRIZE SCHOOL - QUEEN CREEK,PINAL,209,0.818
EISENHOWER ELEMENTARY SCHOOL,MARICOPA,67,0.896
EL MIRAGE ELEMENTARY SCHOOL,MARICOPA,121,0.992
ELLSWORTH ELEMENTARY,PINAL,57,0.912
ELVIRA ELEMENTARY SCHOOL,PIMA,94,0.989
EMERSON ELEMENTARY SCHOOL,MARICOPA,86,0.919
EMMANUEL CHRISTIAN ACADEMY,MOHAVE,41,0.463
